population,year,trapdate,count,sex,origin,forklength,agedesignation,age.best,age.cwt,age.pit,age.scale,age.length,recapture,oppunch,notes
Catherine,2002,2002-06-14,1,M,Nat,595,Adult,3,NA,NA,NA,3,FALSE,1ROP/CAU,
Catherine,2002,2002-06-14,1,M,Nat,724,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Nat,842,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Nat,686,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Nat,710,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Nat,750,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Hat,660,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Hat,670,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Hat,730,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Hat,721,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Hat,798,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Hat,703,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Hat,709,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Hat,783,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Hat,671,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Hat,617,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Hat,704,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Hat,703,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Hat,739,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Hat,669,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Hat,655,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Hat,702,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Nat,615,Adult,3,NA,NA,NA,3,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Hat,805,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Hat,694,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Hat,762,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
