season,population,mig.year,n.length,len.mean,len.sd,len.se,len.min,len.max,summer.median.date,len.notes,
summer,UGR,2016,1175,60.4,6.17,0.18,44,94,2015-08-25,,
fall,UGR,2016,932,71.3,6.11,0.20,53,89,,,
winter,UGR,2016,381,70.5,7.22,0.37,56,95,,,
spring,UGR,2016,920,78.0,6.98,0.23,58,101,,,
summer,UGR,2017,1420,58.6,7.16,0.19,42,90,2016-08-23,,
fall,UGR,2017,920,71.5,7.28,0.24,51,93,,,
winter,UGR,2017,604,67.5,7.37,0.30,50,92,,,
spring,UGR,2017,1500,81.9,8.52,0.22,58,107,,,
summer,UGR,2018,1067,63.6,9.15,0.28,44,157,2017-08-24,,
fall,UGR,2018,1094,73.2,8.93,0.27,51,112,,,
winter,UGR,2018,601,71.6,9.07,0.37,53,99,,PIT tagged fish only,
spring,UGR,2018,1420,86.0,8.67,0.23,58,112,,,
summer,UGR,2019,999,63.4,5.06,0.16,55,80,2018-08-30,PIT tagged fish only,
fall,UGR,2019,639,72.5,8.09,0.32,55,112,,,
winter,UGR,2019,600,70.0,6.61,0.27,55,97,,PIT tagged fish only,
spring,UGR,2019,757,82.4,7.43,0.27,61,104,,,
summer,Lostine,1994,697,72.0,8.43,0.32,53,103,,,
summer,Lostine,1995,1001,72.2,8.12,0.26,58,103,1994-08-30,PIT tagged fish only,
summer,Lostine,1996,975,69.2,7.13,0.23,49,97,1995-08-15,PIT tagged fish only,
summer,Lostine,1997,527,76.5,7.26,0.32,59,105,1996-08-18,PIT tagged fish only,
fall,Lostine,1997,815,98.3,8.85,0.31,74,128,,,
winter,Lostine,1997,390,91.9,9.28,0.47,73,126,,,
spring,Lostine,1997,765,102.2,12.17,0.44,79,141,,,
summer,Lostine,1998,0,,,,,,,,
fall,Lostine,1998,1348,96.9,8.08,0.22,61,123,,,
winter,Lostine,1998,132,97.6,9.88,0.86,70,128,,,
spring,Lostine,1998,857,107.4,13.47,0.46,71,147,,,
summer,Lostine,1999,497,72.0,8.17,0.37,54,102,1998-08-12,PIT tagged fish only,
fall,Lostine,1999,984,94.5,9.72,0.31,47,141,,,
winter,Lostine,1999,499,87.3,8.94,0.40,67,128,,,
spring,Lostine,1999,702,95.8,11.92,0.45,64,147,,,
summer,Lostine,2000,509,69.4,9.48,0.42,52,99,1999-08-10,PIT tagged fish only,
fall,Lostine,2000,1521,94.6,10.53,0.27,63,127,,,
winter,Lostine,2000,511,84.0,8.59,0.38,67,131,,,
spring,Lostine,2000,1095,94.3,9.93,0.30,72,144,,,
summer,Lostine,2001,483,77.0,9.08,0.41,55,104,2000-08-16,PIT tagged fish only,
fall,Lostine,2001,1397,91.6,12.33,0.33,50,134,,,
winter,Lostine,2001,498,88.7,8.70,0.39,63,115,,,
spring,Lostine,2001,647,100.8,11.96,0.47,73,148,,,
summer,Lostine,2002,501,73.2,5.37,0.24,53,103,2001-08-08,PIT tagged fish only,
