"WeirLocation","TrapYear","TrapDate","Count","Sex","Origin","ForkLength","BestAge","CWTAge","PITAge","ScaleAge_Best","LengthAge","Age_Key","Recapture","Disposition","Description","New_or_recap","OpPunch"
"Catherine Creek",2002,2002-6-13 00:00:00,1,"F","Nat",689,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-13 00:00:00,1,"M","Hat",758,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-13 00:00:00,1,"M","Hat",716,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-13 00:00:00,1,"F","Hat",698,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-13 00:00:00,1,"F","Hat",724,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-13 00:00:00,1,"F","Nat",657,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-13 00:00:00,1,"F","Nat",697,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-13 00:00:00,1,"F","Nat",718,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-13 00:00:00,1,"F","Hat",665,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-13 00:00:00,1,"M","Hat",628,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-13 00:00:00,1,"M","Hat",649,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-14 00:00:00,1,"M","Hat",684,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-14 00:00:00,1,"M","Nat",672,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-14 00:00:00,1,"M","Hat",736,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-14 00:00:00,1,"M","Nat",891,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-14 00:00:00,1,"M","Nat",719,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-14 00:00:00,1,"M","Nat",819,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-14 00:00:00,1,"M","Nat",802,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-14 00:00:00,1,"F","Hat",648,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-14 00:00:00,1,"F","Nat",692,3,,,,3,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-14 00:00:00,1,"M","Nat",595,3,,,,3,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2002,2002-6-14 00:00:00,1,"M","Nat",724,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
